"BN","School_Year","Start_Date","Overall_Rating","Indicator_1.1","Indicator_1.2","Indicator_1.3","Indicator_1.4","Indicator_1.5","Indicator_1.6","Indicator_1.7","IndicatorOverall_1","Indicator_2.1","Indicator_2.2","Indicator_2.3","Indicator_2.4","Indicator_2.5","Indicator_2.6","Indicator_2.7","IndicatorOverall_2","Indicator_3.1","Indicator_3.2","Indicator_3.3","Indicator_3.4","Indicator_3.5","Indicator_3.6","Indicator_3.7","Indicator_3.8","IndicatorOverall_3","Indicator_4.1","Indicator_4.2","Indicator_4.3","Indicator_4.4","Indicator_4.5","Indicator_4.6","Indicator_4.7","IndicatorOverall_4","Indicator_5.1","Indicator_5.2","Indicator_5.3","Indicator_5.4","Indicator_5.5","Indicator_5.6","Indicator_5.7","IndicatorOverall_5"
"X054","2011-12","40877","D","D","D","D","P","No Data","No Data","No Data","No Data","P","D","D","U","No Data","No Data","No Data","No Data","U","D","D","D","No Data","No Data","No Data","No Data","No Data","D","D","D","D","No Data","No Data","No Data","No Data","D","D","U","D","No Data","No Data","No Data","No Data"
"X299","2011-12","40878","D","D","D","D","P","No Data","No Data","No Data","No Data","P","D","D","P","No Data","No Data","No Data","No Data","P","D","D","P","No Data","No Data","No Data","No Data","No Data","P","P","D","P","No Data","No Data","No Data","No Data","D","D","D","D","No Data","No Data","No Data","No Data"
"K108","2011-12","40882","P","P","P","P","WD","No Data","No Data","No Data","No Data","WD","P","P","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","WD","P","P","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data"
"K609","2011-12","40882","D","D","D","D","D","No Data","No Data","No Data","No Data","P","D","P","D","No Data","No Data","No Data","No Data","D","D","D","P","No Data","No Data","No Data","No Data","No Data","P","D","D","P","No Data","No Data","No Data","No Data","D","D","D","D","No Data","No Data","No Data","No Data"
"M072","2011-12","40882","P","P","P","P","WD","No Data","No Data","No Data","No Data","P","P","P","WD","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","D","P","P","WD","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data"
"M131","2011-12","40882","D","D","D","D","P","No Data","No Data","No Data","No Data","P","D","P","P","No Data","No Data","No Data","No Data","P","D","D","D","No Data","No Data","No Data","No Data","No Data","D","D","D","P","No Data","No Data","No Data","No Data","D","D","D","D","No Data","No Data","No Data","No Data"
"M188","2011-12","40882","D","D","D","P","WD","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","P","P","D","P","No Data","No Data","No Data","No Data","D","P","D","P","No Data","No Data","No Data","No Data"
"M192","2011-12","40882","D","D","D","D","P","No Data","No Data","No Data","No Data","P","D","D","P","No Data","No Data","No Data","No Data","P","D","D","P","No Data","No Data","No Data","No Data","No Data","D","D","D","P","No Data","No Data","No Data","No Data","D","D","D","D","No Data","No Data","No Data","No Data"
"Q112","2011-12","40882","P","P","P","P","WD","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","D","P","D","WD","No Data","No Data","No Data","No Data","P","P","P","D","No Data","No Data","No Data","No Data"
"Q237","2011-12","40882","D","D","D","P","P","No Data","No Data","No Data","No Data","P","D","D","P","No Data","No Data","No Data","No Data","P","D","D","P","No Data","No Data","No Data","No Data","No Data","P","D","P","P","No Data","No Data","No Data","No Data","D","P","D","D","No Data","No Data","No Data","No Data"
"Q270","2011-12","40882","P","P","P","WD","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","P","P","P","WD","No Data","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","P","P","P","D","No Data","No Data","No Data","No Data"
"R440","2011-12","40882","WD","WD","P","WD","WD","No Data","No Data","No Data","No Data","WD","WD","WD","WD","No Data","No Data","No Data","No Data","WD","WD","WD","WD","No Data","No Data","No Data","No Data","No Data","WD","WD","WD","WD","No Data","No Data","No Data","No Data","WD","WD","WD","WD","No Data","No Data","No Data","No Data"
"X105","2011-12","40882","D","D","D","P","P","No Data","No Data","No Data","No Data","WD","P","P","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","D","P","P","D","No Data","No Data","No Data","No Data"
"X206","2011-12","40882","P","P","P","P","WD","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data"
"X322","2011-12","40882","D","D","D","D","P","No Data","No Data","No Data","No Data","P","D","P","D","No Data","No Data","No Data","No Data","D","D","D","D","No Data","No Data","No Data","No Data","No Data","P","D","D","P","No Data","No Data","No Data","No Data","D","D","D","D","No Data","No Data","No Data","No Data"
"K146","2011-12","40889","WD","WD","WD","WD","WD","No Data","No Data","No Data","No Data","WD","WD","WD","WD","No Data","No Data","No Data","No Data","WD","WD","WD","WD","No Data","No Data","No Data","No Data","No Data","P","WD","WD","WD","No Data","No Data","No Data","No Data","WD","P","P","P","No Data","No Data","No Data","No Data"
"K194","2011-12","40889","P","D","D","P","P","No Data","No Data","No Data","No Data","WD","WD","WD","WD","No Data","No Data","No Data","No Data","WD","P","WD","WD","No Data","No Data","No Data","No Data","No Data","WD","WD","P","WD","No Data","No Data","No Data","No Data","D","P","P","P","No Data","No Data","No Data","No Data"
"K226","2011-12","40889","P","P","P","WD","WD","No Data","No Data","No Data","No Data","WD","P","P","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","P","P","P","WD","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data"
"K270","2011-12","40889","P","P","P","P","P","No Data","No Data","No Data","No Data","P","P","P","D","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data"
"K392","2011-12","40889","P","P","P","P","WD","No Data","No Data","No Data","No Data","WD","P","P","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","WD","P","P","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data"
"M005","2011-12","40889","D","D","D","P","P","No Data","No Data","No Data","No Data","P","P","D","WD","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","D","P","P","WD","No Data","No Data","No Data","No Data","D","D","P","D","No Data","No Data","No Data","No Data"
"M194","2011-12","40889","U","U","U","D","D","No Data","No Data","No Data","No Data","P","D","D","D","No Data","No Data","No Data","No Data","P","D","D","U","No Data","No Data","No Data","No Data","No Data","U","D","D","D","No Data","No Data","No Data","No Data","D","D","D","D","No Data","No Data","No Data","No Data"
"Q181","2011-12","40889","D","P","D","P","D","No Data","No Data","No Data","No Data","P","P","P","D","No Data","No Data","No Data","No Data","P","P","P","D","No Data","No Data","No Data","No Data","No Data","P","P","P","D","No Data","No Data","No Data","No Data","P","D","D","D","No Data","No Data","No Data","No Data"
"Q317","2011-12","40889","P","P","P","P","WD","No Data","No Data","No Data","No Data","WD","P","P","P","No Data","No Data","No Data","No Data","P","P","P","WD","No Data","No Data","No Data","No Data","No Data","WD","P","P","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data"
"Q650","2011-12","40889","P","WD","P","WD","P","No Data","No Data","No Data","No Data","WD","P","WD","P","No Data","No Data","No Data","No Data","WD","P","WD","P","No Data","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","P","WD","WD","P","No Data","No Data","No Data","No Data"
"X007","2011-12","40889","P","D","D","WD","WD","No Data","No Data","No Data","No Data","WD","P","WD","P","No Data","No Data","No Data","No Data","WD","P","WD","WD","No Data","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data"
"X025","2011-12","40889","P","D","D","P","P","No Data","No Data","No Data","No Data","P","P","P","WD","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data"
"X447","2011-12","40889","P","P","P","P","WD","No Data","No Data","No Data","No Data","P","P","P","WD","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data"
"K149","2011-12","40890","D","D","D","P","P","No Data","No Data","No Data","No Data","P","D","D","D","No Data","No Data","No Data","No Data","P","D","D","D","No Data","No Data","No Data","No Data","No Data","P","P","D","P","No Data","No Data","No Data","No Data","D","D","D","D","No Data","No Data","No Data","No Data"
"K299","2011-12","40890","D","D","D","P","P","No Data","No Data","No Data","No Data","P","D","P","P","No Data","No Data","No Data","No Data","P","D","P","P","No Data","No Data","No Data","No Data","No Data","U","P","D","P","No Data","No Data","No Data","No Data","D","P","D","P","No Data","No Data","No Data","No Data"
"K366","2011-12","40890","D","D","D","P","P","No Data","No Data","No Data","No Data","P","D","P","P","No Data","No Data","No Data","No Data","P","D","D","P","No Data","No Data","No Data","No Data","No Data","P","P","P","D","No Data","No Data","No Data","No Data","D","D","D","P","No Data","No Data","No Data","No Data"
"M137","2011-12","40890","P","D","P","P","D","No Data","No Data","No Data","No Data","WD","P","P","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","D","P","P","P","No Data","No Data","No Data","No Data"
"M185","2011-12","40890","D","P","D","P","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","P","D","D","D","No Data","No Data","No Data","No Data","No Data","P","D","D","P","No Data","No Data","No Data","No Data","D","D","D","D","No Data","No Data","No Data","No Data"
"M347","2011-12","40890","D","D","P","P","P","No Data","No Data","No Data","No Data","P","D","D","P","No Data","No Data","No Data","No Data","P","D","D","P","No Data","No Data","No Data","No Data","No Data","P","D","D","P","No Data","No Data","No Data","No Data","D","D","D","D","No Data","No Data","No Data","No Data"
"M393","2011-12","40890","P","P","P","P","WD","No Data","No Data","No Data","No Data","P","D","P","P","No Data","No Data","No Data","No Data","P","D","P","P","No Data","No Data","No Data","No Data","No Data","P","P","P","WD","No Data","No Data","No Data","No Data","P","P","D","P","No Data","No Data","No Data","No Data"
"Q058","2011-12","40890","P","P","P","WD","WD","No Data","No Data","No Data","No Data","P","WD","P","P","No Data","No Data","No Data","No Data","P","D","P","P","No Data","No Data","No Data","No Data","No Data","WD","WD","P","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data"
"Q062","2011-12","40890","WD","WD","P","WD","WD","No Data","No Data","No Data","No Data","WD","WD","WD","WD","No Data","No Data","No Data","No Data","WD","P","P","WD","No Data","No Data","No Data","No Data","No Data","WD","WD","WD","P","No Data","No Data","No Data","No Data","WD","WD","WD","P","No Data","No Data","No Data","No Data"
"Q157","2011-12","40890","WD","WD","WD","WD","WD","No Data","No Data","No Data","No Data","WD","WD","WD","WD","No Data","No Data","No Data","No Data","P","WD","WD","WD","No Data","No Data","No Data","No Data","No Data","WD","WD","P","WD","No Data","No Data","No Data","No Data","WD","WD","WD","WD","No Data","No Data","No Data","No Data"
"R019","2011-12","40890","WD","WD","P","WD","WD","No Data","No Data","No Data","No Data","WD","WD","WD","WD","No Data","No Data","No Data","No Data","WD","WD","WD","WD","No Data","No Data","No Data","No Data","No Data","WD","P","WD","WD","No Data","No Data","No Data","No Data","WD","P","WD","WD","No Data","No Data","No Data","No Data"
"R049","2011-12","40890","D","D","D","D","P","No Data","No Data","No Data","No Data","D","D","D","P","No Data","No Data","No Data","No Data","D","D","D","D","No Data","No Data","No Data","No Data","No Data","D","D","D","P","No Data","No Data","No Data","No Data","D","D","D","D","No Data","No Data","No Data","No Data"
"X048","2011-12","40890","WD","WD","P","WD","WD","No Data","No Data","No Data","No Data","P","WD","WD","P","No Data","No Data","No Data","No Data","WD","WD","P","P","No Data","No Data","No Data","No Data","No Data","WD","WD","P","WD","No Data","No Data","No Data","No Data","WD","P","WD","WD","No Data","No Data","No Data","No Data"
"X095","2011-12","40890","P","WD","P","P","P","No Data","No Data","No Data","No Data","WD","P","P","WD","No Data","No Data","No Data","No Data","WD","P","P","P","No Data","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data"
"X109","2011-12","40890","P","D","P","WD","WD","No Data","No Data","No Data","No Data","WD","WD","P","P","No Data","No Data","No Data","No Data","WD","P","P","WD","No Data","No Data","No Data","No Data","No Data","WD","WD","WD","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data"
"X282","2011-12","40890","D","D","D","D","P","No Data","No Data","No Data","No Data","D","D","D","D","No Data","No Data","No Data","No Data","D","D","D","P","No Data","No Data","No Data","No Data","No Data","D","D","D","P","No Data","No Data","No Data","No Data","D","D","U","D","No Data","No Data","No Data","No Data"
"X479","2011-12","40890","D","D","D","P","P","No Data","No Data","No Data","No Data","P","D","D","P","No Data","No Data","No Data","No Data","P","D","D","D","No Data","No Data","No Data","No Data","No Data","D","D","D","P","No Data","No Data","No Data","No Data","D","D","D","D","No Data","No Data","No Data","No Data"
"X372","2011-12","40891","D","D","D","P","P","No Data","No Data","No Data","No Data","P","D","P","P","No Data","No Data","No Data","No Data","P","D","D","D","No Data","No Data","No Data","No Data","No Data","D","D","P","P","No Data","No Data","No Data","No Data","D","D","D","D","No Data","No Data","No Data","No Data"
"K091","2011-12","40892","D","D","D","D","D","No Data","No Data","No Data","No Data","D","D","D","D","No Data","No Data","No Data","No Data","D","D","D","D","No Data","No Data","No Data","No Data","No Data","P","D","D","P","No Data","No Data","No Data","No Data","D","D","D","D","No Data","No Data","No Data","No Data"
"K292","2011-12","40892","P","P","P","P","P","No Data","No Data","No Data","No Data","P","P","D","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","P","P","D","P","No Data","No Data","No Data","No Data"
"X127","2011-12","40892","P","P","D","P","P","No Data","No Data","No Data","No Data","P","D","P","P","No Data","No Data","No Data","No Data","WD","P","WD","WD","No Data","No Data","No Data","No Data","No Data","P","D","P","WD","No Data","No Data","No Data","No Data","P","D","P","D","No Data","No Data","No Data","No Data"
"K697","2011-12","40896","P","P","D","P","P","No Data","No Data","No Data","No Data","P","P","P","D","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data"
"M116","2011-12","40896","WD","WD","WD","WD","WD","No Data","No Data","No Data","No Data","WD","WD","WD","WD","No Data","No Data","No Data","No Data","P","WD","WD","WD","No Data","No Data","No Data","No Data","No Data","P","WD","WD","WD","No Data","No Data","No Data","No Data","WD","P","P","P","No Data","No Data","No Data","No Data"
"X550","2011-12","40896","D","D","D","P","P","No Data","No Data","No Data","No Data","P","D","P","P","No Data","No Data","No Data","No Data","P","D","P","P","No Data","No Data","No Data","No Data","No Data","D","D","D","P","No Data","No Data","No Data","No Data","D","P","P","D","No Data","No Data","No Data","No Data"
"M392","2011-12","40913","P","WD","P","P","WD","No Data","No Data","No Data","No Data","WD","P","P","WD","No Data","No Data","No Data","No Data","WD","P","P","WD","No Data","No Data","No Data","No Data","No Data","WD","WD","WD","WD","No Data","No Data","No Data","No Data","P","P","P","WD","No Data","No Data","No Data","No Data"
"M964","2011-12","40913","WD","WD","WD","WD","WD","No Data","No Data","No Data","No Data","WD","WD","P","WD","No Data","No Data","No Data","No Data","WD","WD","WD","WD","No Data","No Data","No Data","No Data","No Data","P","WD","WD","WD","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data"
"Q028","2011-12","40913","P","P","P","WD","WD","No Data","No Data","No Data","No Data","P","P","P","WD","No Data","No Data","No Data","No Data","WD","P","P","P","No Data","No Data","No Data","No Data","No Data","P","P","D","P","No Data","No Data","No Data","No Data","P","P","P","D","No Data","No Data","No Data","No Data"
"Q048","2011-12","40913","D","D","D","P","WD","No Data","No Data","No Data","No Data","WD","P","D","P","No Data","No Data","No Data","No Data","P","P","D","P","No Data","No Data","No Data","No Data","No Data","P","P","P","WD","No Data","No Data","No Data","No Data","P","P","P","D","No Data","No Data","No Data","No Data"
"Q056","2011-12","40913","P","P","P","P","WD","No Data","No Data","No Data","No Data","WD","D","P","P","No Data","No Data","No Data","No Data","WD","P","P","P","No Data","No Data","No Data","No Data","No Data","WD","P","P","P","No Data","No Data","No Data","No Data","P","P","D","P","No Data","No Data","No Data","No Data"
"X046","2011-12","40913","D","D","D","P","WD","No Data","No Data","No Data","No Data","P","D","P","P","No Data","No Data","No Data","No Data","P","D","D","P","No Data","No Data","No Data","No Data","No Data","P","P","P","WD","No Data","No Data","No Data","No Data","P","D","D","P","No Data","No Data","No Data","No Data"
"X332","2011-12","40913","D","D","D","P","WD","No Data","No Data","No Data","No Data","P","D","P","WD","No Data","No Data","No Data","No Data","P","D","P","P","No Data","No Data","No Data","No Data","No Data","P","D","D","P","No Data","No Data","No Data","No Data","D","P","P","D","No Data","No Data","No Data","No Data"
"X547","2011-12","40913","D","D","D","D","P","No Data","No Data","No Data","No Data","D","D","D","D","No Data","No Data","No Data","No Data","D","D","D","D","No Data","No Data","No Data","No Data","No Data","D","D","D","P","No Data","No Data","No Data","No Data","D","D","U","D","No Data","No Data","No Data","No Data"
"K003","2011-12","40917","P","WD","WD","P","WD","No Data","No Data","No Data","No Data","WD","P","P","P","No Data","No Data","No Data","No Data","WD","P","P","P","No Data","No Data","No Data","No Data","No Data","P","WD","P","WD","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data"
"K203","2011-12","40917","P","D","D","WD","WD","No Data","No Data","No Data","No Data","WD","P","P","WD","No Data","No Data","No Data","No Data","WD","D","P","WD","No Data","No Data","No Data","No Data","No Data","P","P","P","WD","No Data","No Data","No Data","No Data","D","D","P","P","No Data","No Data","No Data","No Data"
"M018","2011-12","40917","P","D","D","P","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","P","P","P","WD","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data"
"M158","2011-12","40917","WD","WD","WD","WD","WD","No Data","No Data","No Data","No Data","WD","WD","WD","P","No Data","No Data","No Data","No Data","WD","WD","WD","WD","No Data","No Data","No Data","No Data","No Data","WD","WD","P","WD","No Data","No Data","No Data","No Data","WD","WD","WD","P","No Data","No Data","No Data","No Data"
"Q284","2011-12","40917","P","WD","P","P","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","P","P","P","D","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data"
"R042","2011-12","40917","P","D","D","WD","P","No Data","No Data","No Data","No Data","P","D","WD","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","WD","P","P","P","No Data","No Data","No Data","No Data","P","P","D","P","No Data","No Data","No Data","No Data"
"X437","2011-12","40917","D","D","D","P","D","No Data","No Data","No Data","No Data","WD","D","WD","D","No Data","No Data","No Data","No Data","P","D","D","D","No Data","No Data","No Data","No Data","No Data","D","D","D","D","No Data","No Data","No Data","No Data","D","U","D","D","No Data","No Data","No Data","No Data"
"K066","2011-12","40918","P","P","P","WD","WD","No Data","No Data","No Data","No Data","P","P","P","WD","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","WD","P","P","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data"
"K213","2011-12","40918","D","D","D","D","D","No Data","No Data","No Data","No Data","P","D","D","P","No Data","No Data","No Data","No Data","P","D","D","D","No Data","No Data","No Data","No Data","No Data","D","D","D","D","No Data","No Data","No Data","No Data","U","D","U","D","No Data","No Data","No Data","No Data"
"K249","2011-12","40918","P","P","P","WD","WD","No Data","No Data","No Data","No Data","P","P","P","WD","No Data","No Data","No Data","No Data","P","P","P","WD","No Data","No Data","No Data","No Data","No Data","P","P","WD","WD","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data"
"K563","2011-12","40918","WD","P","WD","WD","WD","No Data","No Data","No Data","No Data","WD","WD","WD","WD","No Data","No Data","No Data","No Data","WD","WD","WD","WD","No Data","No Data","No Data","No Data","No Data","WD","WD","WD","WD","No Data","No Data","No Data","No Data","P","WD","WD","P","No Data","No Data","No Data","No Data"
"M036","2011-12","40918","D","D","D","D","P","No Data","No Data","No Data","No Data","P","P","P","WD","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","D","D","D","WD","No Data","No Data","No Data","No Data","D","P","D","D","No Data","No Data","No Data","No Data"
"M054","2011-12","40918","P","P","P","P","WD","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","D","P","D","P","No Data","No Data","No Data","No Data","P","P","P","D","No Data","No Data","No Data","No Data"
"Q148","2011-12","40918","P","P","P","P","WD","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","D","P","P","P","No Data","No Data","No Data","No Data","P","P","P","D","No Data","No Data","No Data","No Data"
"X010","2011-12","40918","P","P","P","P","WD","No Data","No Data","No Data","No Data","P","P","P","WD","No Data","No Data","No Data","No Data","P","P","D","P","No Data","No Data","No Data","No Data","No Data","P","P","P","WD","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data"
"X057","2011-12","40918","D","D","D","D","D","No Data","No Data","No Data","No Data","D","D","D","D","No Data","No Data","No Data","No Data","D","D","D","D","No Data","No Data","No Data","No Data","No Data","D","D","D","D","No Data","No Data","No Data","No Data","D","U","D","U","No Data","No Data","No Data","No Data"
"X071","2011-12","40918","D","D","D","P","WD","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","P","P","D","WD","No Data","No Data","No Data","No Data","D","D","P","P","No Data","No Data","No Data","No Data"
"X083","2011-12","40918","P","P","D","P","WD","No Data","No Data","No Data","No Data","P","P","P","WD","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","P","P","WD","WD","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data"
"K284","2011-12","40919","P","P","P","P","WD","No Data","No Data","No Data","No Data","P","D","D","WD","No Data","No Data","No Data","No Data","P","D","P","P","No Data","No Data","No Data","No Data","No Data","WD","D","P","P","No Data","No Data","No Data","No Data","P","D","D","P","No Data","No Data","No Data","No Data"
"K676","2011-12","40919","D","D","D","D","P","No Data","No Data","No Data","No Data","P","D","P","P","No Data","No Data","No Data","No Data","P","D","P","D","No Data","No Data","No Data","No Data","No Data","D","D","D","P","No Data","No Data","No Data","No Data","D","P","P","D","No Data","No Data","No Data","No Data"
"X145","2011-12","40919","D","D","D","P","WD","No Data","No Data","No Data","No Data","P","D","P","P","No Data","No Data","No Data","No Data","P","D","D","P","No Data","No Data","No Data","No Data","No Data","D","P","D","P","No Data","No Data","No Data","No Data","P","D","D","D","No Data","No Data","No Data","No Data"
"X721","2011-12","40919","D","D","D","P","WD","No Data","No Data","No Data","No Data","D","D","D","P","No Data","No Data","No Data","No Data","D","D","D","D","No Data","No Data","No Data","No Data","No Data","P","D","D","P","No Data","No Data","No Data","No Data","D","D","D","D","No Data","No Data","No Data","No Data"
"M409","2011-12","40920","D","U","D","P","D","No Data","No Data","No Data","No Data","D","D","D","D","No Data","No Data","No Data","No Data","D","D","D","P","No Data","No Data","No Data","No Data","No Data","D","D","D","D","No Data","No Data","No Data","No Data","U","D","D","D","No Data","No Data","No Data","No Data"
"Q020","2011-12","40920","P","P","D","P","P","No Data","No Data","No Data","No Data","WD","P","P","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","P","P","WD","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data"
"R016","2011-12","40920","D","D","D","P","P","No Data","No Data","No Data","No Data","P","D","D","P","No Data","No Data","No Data","No Data","P","D","P","P","No Data","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data"
"X181","2011-12","40920","P","P","P","P","P","No Data","No Data","No Data","No Data","WD","P","P","P","No Data","No Data","No Data","No Data","P","P","P","WD","No Data","No Data","No Data","No Data","No Data","P","WD","P","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data"
"X310","2011-12","40920","P","P","P","WD","WD","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","P","D","P","P","No Data","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","D","P","P","P","No Data","No Data","No Data","No Data"
"K376","2011-12","40925","P","P","P","P","WD","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","P","P","D","P","No Data","No Data","No Data","No Data"
"K489","2011-12","40925","D","D","D","P","P","No Data","No Data","No Data","No Data","P","D","D","D","No Data","No Data","No Data","No Data","P","D","D","P","No Data","No Data","No Data","No Data","No Data","D","P","D","P","No Data","No Data","No Data","No Data","D","P","D","D","No Data","No Data","No Data","No Data"
"M020","2011-12","40925","P","D","P","P","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","WD","P","P","P","No Data","No Data","No Data","No Data","No Data","P","P","P","WD","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data"
"Q319","2011-12","40925","P","P","P","P","P","No Data","No Data","No Data","No Data","WD","P","P","P","No Data","No Data","No Data","No Data","P","D","P","WD","No Data","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data"
"X328","2011-12","40925","D","D","D","D","P","No Data","No Data","No Data","No Data","P","D","P","D","No Data","No Data","No Data","No Data","D","D","D","D","No Data","No Data","No Data","No Data","No Data","D","P","D","P","No Data","No Data","No Data","No Data","D","D","D","D","No Data","No Data","No Data","No Data"
"X017","2011-12","40926","P","P","P","P","WD","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","D","P","P","P","No Data","No Data","No Data","No Data","P","D","P","D","No Data","No Data","No Data","No Data"
"R006","2011-12","40927","P","P","P","P","P","No Data","No Data","No Data","No Data","P","P","WD","WD","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data"
"Q208","2011-12","40931","P","WD","P","P","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data","WD","P","P","P","No Data","No Data","No Data","No Data","No Data","WD","P","P","P","No Data","No Data","No Data","No Data","P","P","P","P","No Data","No Data","No Data","No Data"
